,Price_EUR_MWh,Forecast_Load_MW,Forecast_Solar_MW,Forecast_Wind_MW,Forecast_Residual_Load_MW,Is_Negative,Year,Hour,DayOfWeek,Month,Hour_sin,Hour_cos,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos
2025-09-30 17:00:00+02:00,36.01,45200.0,9009.91,2258.4,33931.689999999995,False,2025,17,1,9,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 18:00:00+02:00,82.99,46000.0,5686.87,2324.73,37988.399999999994,False,2025,18,1,9,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 19:00:00+02:00,117.0,49000.0,2158.72,2478.44,44362.84,False,2025,19,1,9,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 20:00:00+02:00,106.18,50400.0,315.89,2986.94,47097.17,False,2025,20,1,9,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 21:00:00+02:00,83.23,46700.0,0.0,3553.72,43146.28,False,2025,21,1,9,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 22:00:00+02:00,73.0,44100.0,0.0,3964.36,40135.64,False,2025,22,1,9,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-09-30 23:00:00+02:00,75.73,46200.0,0.0,4060.73,42139.27,False,2025,23,1,9,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2025-10-01 00:00:00+02:00,102.08,44000.0,0.0,3587.43,40412.57,False,2025,0,2,10,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 01:00:00+02:00,86.91,40300.0,0.0,3252.97,37047.03,False,2025,1,2,10,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2025-10-01 02:00:00+02:00,61.57,40200.0,0.0,2962.84,37237.16,False,2025,2,2,10,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
